,dev1,dev2,dev3,dev4,time,locate,x,y,cluster
6,-78.6,-77.33333333333333,-75.8,-77.0,3,1,0,0,0
8,-78.66666666666667,-76.25,-74.4,-78.0,4,1,0,0,0
10,-79.25,-77.75,-74.0,-77.25,5,1,0,0,0
12,-77.66666666666667,-76.75,-73.6,-77.6,6,1,0,0,0
14,-78.5,-78.25,-75.0,-77.14999999999999,7,1,0,0,0
16,-80.4,-78.0,-74.2,-76.7,8,1,0,0,0
18,-78.16666666666667,-76.33333333333333,-75.33333333333333,-76.25,9,1,0,0,0
20,-77.75,-75.4,-76.0,-76.0,10,1,0,0,0
22,-77.75,-78.25,-74.25,-77.5,11,1,0,0,0
24,-79.28571428571429,-77.0,-75.5,-77.33333333333333,12,1,0,0,0
26,-79.42857142857143,-78.0,-75.0,-78.75,13,1,0,0,0
28,-82.0,-76.5,-75.66666666666667,-77.25,14,1,0,0,0
30,-80.5,-77.0,-74.5,-81.0,15,1,0,0,0
32,-79.33333333333333,-75.25,-75.0,-77.5,16,1,0,0,0
34,-80.75,-76.375,-75.33333333333333,-76.0,17,1,0,0,0
36,-79.0,-77.5,-75.75,-76.75,18,1,0,0,0
38,-80.0,-74.0,-75.0,-78.0,19,1,0,0,0
40,-79.33333333333333,-77.0,-74.33333333333333,-78.33333333333333,20,1,0,0,0
42,-79.6,-76.4,-74.6,-77.0,21,1,0,0,0
44,-78.33333333333333,-76.4,-74.66666666666667,-76.66666666666667,22,1,0,0,0
46,-79.0,-76.4,-75.33333333333333,-78.33333333333333,23,1,0,0,0
48,-78.66666666666667,-77.33333333333333,-75.0,-76.75,24,1,0,0,0
50,-79.25,-79.0,-74.66666666666667,-77.0,25,1,0,0,0
52,-79.5,-78.0,-76.5,-75.0,26,1,0,0,0
54,-78.2,-78.0,-74.33333333333333,-76.5,27,1,0,0,0
56,-79.5,-76.6,-73.66666666666667,-76.41666666666666,28,1,0,0,0
58,-79.75,-77.33333333333333,-75.0,-76.33333333333333,29,1,0,0,0
60,-79.8,-77.4,-74.0,-76.0,30,1,0,0,0
62,-81.0,-78.33333333333333,-74.2,-78.33333333333333,31,1,0,0,0
64,-78.6,-76.0,-75.2,-77.0,32,1,0,0,0
66,-80.5,-77.0,-75.0,-76.5,33,1,0,0,0
68,-78.2,-78.25,-75.33333333333333,-75.25,34,1,0,0,0
70,-79.2,-78.0,-74.75,-78.0,35,1,0,0,0
72,-82.5,-77.33333333333333,-74.2,-76.5,36,1,0,0,0
74,-79.33333333333333,-77.0,-73.75,-76.0,37,1,0,0,0
76,-78.0,-77.5,-75.0,-77.33333333333334,38,1,0,0,0
78,-80.0,-76.5,-74.33333333333333,-78.66666666666667,39,1,0,0,0
80,-78.2,-77.25,-73.5,-77.0,40,1,0,0,0
82,-78.0,-77.0,-75.75,-76.5,41,1,0,0,0
84,-79.66666666666667,-77.66666666666667,-73.66666666666667,-76.0,42,1,0,0,0
86,-80.66666666666667,-78.0,-74.6,-76.5,43,1,0,0,0
88,-77.75,-77.5,-75.5,-75.0,44,1,0,0,0
90,-81.0,-78.0,-76.0,-78.0,45,1,0,0,0
92,-79.2,-78.0,-74.4,-77.66666666666667,46,1,0,0,0
94,-81.25,-78.5,-74.0,-77.0,47,1,0,0,0
96,-80.5,-78.5,-75.0,-76.75,48,1,0,0,0
98,-79.75,-77.0,-75.2,-76.5,49,1,0,0,0
100,-77.0,-81.0,-74.0,-76.0,50,1,0,0,0
102,-78.5,-76.0,-76.0,-76.0,51,1,0,0,0
104,-78.5,-77.0,-75.75,-76.33333333333333,52,1,0,0,0
106,-79.05,-77.0,-75.5,-76.0,53,1,0,0,0
108,-79.6,-76.33333333333333,-76.33333333333333,-76.66666666666667,54,1,0,0,0
110,-77.5,-77.0,-73.66666666666667,-78.0,55,1,0,0,0
112,-80.0,-77.0,-73.8,-76.4,56,1,0,0,0
114,-78.83333333333333,-76.75,-74.0,-75.8,57,1,0,0,0
116,-77.4,-76.8,-73.75,-77.5,58,1,0,0,0
118,-80.66666666666667,-77.25,-74.8,-77.66666666666667,59,1,0,0,0
120,-78.5,-77.5,-74.5,-75.0,60,1,0,0,0
122,-78.0,-78.5,-75.33333333333333,-77.0,61,1,0,0,0
124,-80.66666666666667,-77.75,-75.0,-76.7,62,1,0,0,0
126,-80.5,-74.33333333333333,-75.4,-76.4,63,1,0,0,0
128,-78.25,-78.5,-74.25,-75.5,64,1,0,0,0
130,-77.66666666666667,-77.0,-75.0,-76.33333333333333,65,1,0,0,0
132,-78.0,-82.0,-74.25,-77.0,66,1,0,0,0
134,-76.66666666666667,-78.0,-74.33333333333333,-77.66666666666667,67,1,0,0,0
136,-79.75,-76.5,-74.33333333333333,-76.0,68,1,0,0,0
138,-79.4,-77.0,-74.25,-76.5,69,1,0,0,0
140,-78.8,-77.33333333333333,-75.66666666666667,-78.0,70,1,0,0,0
142,-78.66666666666667,-78.6,-75.0,-76.66666666666667,71,1,0,0,0
144,-80.71428571428571,-77.33333333333333,-75.8,-76.33333333333333,72,1,0,0,0
146,-82.25,-75.66666666666667,-74.57142857142857,-74.0,73,1,0,0,0
148,-80.0,-79.0,-75.25,-76.5,74,1,0,0,0
150,-78.6,-79.5,-75.0,-78.0,75,1,0,0,0
152,-78.75,-77.0,-72.66666666666667,-76.0,76,1,0,0,0
154,-80.33333333333333,-77.66666666666667,-74.0,-77.0,77,1,0,0,0
156,-81.0,-78.0,-74.75,-78.0,78,1,0,0,0
158,-81.33333333333333,-78.5,-74.5,-77.66666666666667,79,1,0,0,0
160,-79.25,-75.5,-73.6,-76.0,80,1,0,0,0
162,-80.75,-76.5,-75.75,-76.0,81,1,0,0,0
164,-78.0,-75.5,-74.0,-75.33333333333333,82,1,0,0,0
166,-79.0,-76.75,-74.5,-77.0,83,1,0,0,0
168,-78.33333333333333,-77.0,-75.25,-76.25,84,1,0,0,0
170,-79.83333333333333,-80.66666666666667,-74.8,-77.0,85,1,0,0,0
172,-79.5,-76.25,-74.0,-77.33333333333333,86,1,0,0,0
174,-79.66666666666667,-77.0,-74.0,-79.0,87,1,0,0,0
176,-80.0,-76.5,-76.5,-75.0,88,1,0,0,0
178,-79.0,-77.25,-74.25,-78.5,89,1,0,0,0
180,-80.75,-77.5,-74.25,-78.0,90,1,0,0,0
182,-81.16666666666667,-78.66666666666667,-74.75,-76.33333333333333,91,1,0,0,0
184,-80.0,-79.2,-74.6,-76.25,92,1,0,0,0
186,-77.25,-76.5,-73.66666666666667,-76.33333333333333,93,1,0,0,0
188,-79.0,-76.66666666666667,-75.66666666666667,-77.33333333333333,94,1,0,0,0
190,-81.0,-75.5,-75.0,-76.83333333333333,95,1,0,0,0
192,-78.0,-77.0,-75.0,-76.0,96,1,0,0,0
194,-78.5,-79.75,-75.6,-76.2,97,1,0,0,0
196,-79.8,-77.0,-74.75,-77.0,98,1,0,0,0
198,-80.75,-77.0,-74.875,-76.25,99,1,0,0,0
200,-81.66666666666667,-76.0,-75.0,-78.0,100,1,0,0,0
202,-78.33333333333333,-77.25,-76.0,-76.83333333333333,101,1,0,0,0
204,-82.33333333333333,-77.0,-75.33333333333333,-76.0,102,1,0,0,0
206,-79.4,-75.75,-75.4,-79.0,103,1,0,0,0
208,-79.0,-77.0,-75.33333333333333,-77.0,104,1,0,0,0
210,-77.5,-77.0,-75.5,-76.8,105,1,0,0,0
212,-78.5,-77.66666666666667,-74.0,-74.66666666666667,106,1,0,0,0
214,-79.5,-76.5,-74.0,-76.0,107,1,0,0,0
216,-78.8,-75.0,-72.33333333333333,-75.0,108,1,0,0,0
218,-78.33333333333333,-77.0,-73.5,-76.5,109,1,0,0,0
220,-79.0,-77.33333333333333,-76.0,-76.66666666666667,110,1,0,0,0
222,-79.6,-77.0,-75.5,-77.0,111,1,0,0,0
224,-81.75,-77.0,-74.75,-76.0,112,1,0,0,0
226,-78.0,-78.0,-74.0,-76.33333333333333,113,1,0,0,0
228,-78.8,-76.5,-73.6,-77.2,114,1,0,0,0
230,-79.4,-79.0,-74.5,-76.66666666666667,115,1,0,0,0
232,-78.0,-76.0,-74.66666666666667,-78.0,116,1,0,0,0
234,-79.0,-77.0,-74.75,-76.0,117,1,0,0,0
236,-78.25,-79.0,-73.33333333333333,-77.0,118,1,0,0,0
238,-77.5,-77.33333333333333,-76.0,-76.5,119,1,0,0,0
240,-80.5,-76.5,-74.0,-78.0,120,1,0,0,0
242,-79.75,-76.5,-73.6,-76.0,121,1,0,0,0
244,-79.0,-76.0,-74.75,-77.0,122,1,0,0,0
246,-80.4,-76.6,-75.66666666666667,-76.4,123,1,0,0,0
248,-81.0,-80.0,-74.0,-76.5,124,1,0,0,0
250,-78.66666666666667,-79.5,-74.2,-78.0,125,1,0,0,0
252,-81.66666666666667,-76.33333333333333,-74.25,-76.0,126,1,0,0,0
254,-78.33333333333333,-76.0,-76.0,-76.33333333333333,127,1,0,0,0
256,-82.5,-79.0,-74.4,-76.5,128,1,0,0,0
258,-78.33333333333333,-80.0,-74.75,-75.33333333333333,129,1,0,0,0
260,-82.33333333333333,-80.0,-74.75,-76.0,130,1,0,0,0
262,-80.0,-77.0,-75.66666666666667,-77.2,131,1,0,0,0
264,-79.33333333333333,-78.0,-74.66666666666667,-78.0,132,1,0,0,0
266,-81.25,-76.4,-75.5,-77.0,133,1,0,0,0
268,-82.5,-77.0,-76.0,-77.66666666666667,134,1,0,0,0
270,-79.75,-75.66666666666667,-74.0,-76.85714285714286,135,1,0,0,0
272,-81.6,-75.0,-73.5,-76.0,136,1,0,0,0
274,-82.0,-76.25,-75.0,-78.0,137,1,0,0,0
276,-79.5,-76.33333333333333,-74.8,-76.5,138,1,0,0,0
278,-79.28571428571429,-76.4,-74.0,-76.0,139,1,0,0,0
280,-79.0,-78.66666666666667,-74.0,-76.0,140,1,0,0,0
282,-79.4,-77.33333333333333,-75.0,-76.0,141,1,0,0,0
284,-79.4,-76.8,-74.0,-77.33333333333333,142,1,0,0,0
286,-81.4,-77.33333333333333,-76.25,-76.91666666666666,143,1,0,0,0
288,-77.0,-78.0,-73.0,-76.5,144,1,0,0,0
290,-81.0,-75.5,-76.0,-77.0,145,1,0,0,0
292,-79.0,-76.75,-74.25,-76.0,146,1,0,0,0
294,-79.66666666666667,-77.4,-74.66666666666667,-75.5,147,1,0,0,0
296,-79.66666666666667,-76.0,-74.5,-78.0,148,1,0,0,0
298,-80.5,-75.33333333333333,-74.5,-76.0,149,1,0,0,0
300,-78.2,-77.83333333333333,-73.66666666666667,-77.0,150,1,0,0,0
302,-80.0,-77.5,-75.0,-75.33333333333333,151,1,0,0,0
304,-79.28571428571429,-78.5,-75.0,-76.33333333333333,152,1,0,0,0
306,-80.66666666666667,-76.83333333333333,-75.8,-77.0,153,1,0,0,0
308,-80.0,-77.0,-74.75,-78.5,154,1,0,0,0
310,-80.83333333333333,-80.66666666666667,-75.0,-78.0,155,1,0,0,0
